2025-05-26 14:19:01,784 - [2025-05-26 14:19:01] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:19:57,308 - [2025-05-26 14:19:57] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:20:52,791 - [2025-05-26 14:20:52] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:21:29,816 - [2025-05-26 14:21:29] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:22:25,328 - [2025-05-26 14:22:25] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:23:57,799 - [2025-05-26 14:23:57] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:24:53,310 - [2025-05-26 14:24:53] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:25:30,299 - [2025-05-26 14:25:30] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:26:25,817 - [2025-05-26 14:26:25] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:27:02,821 - [2025-05-26 14:27:02] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:27:58,309 - [2025-05-26 14:27:58] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:28:53,827 - [2025-05-26 14:28:53] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:29:30,827 - [2025-05-26 14:29:30] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:30:26,322 - [2025-05-26 14:30:26] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:31:03,303 - [2025-05-26 14:31:03] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:31:58,830 - [2025-05-26 14:31:58] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:32:54,318 - [2025-05-26 14:32:54] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:33:31,315 - [2025-05-26 14:33:31] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:34:26,827 - [2025-05-26 14:34:26] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:35:03,828 - [2025-05-26 14:35:03] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:35:59,318 - [2025-05-26 14:35:59] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:36:54,824 - [2025-05-26 14:36:54] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:37:31,825 - [2025-05-26 14:37:31] r1: OFF, r2: OFF, i1: OFF, i2: OFF
2025-05-26 14:38:27,326 - [2025-05-26 14:38:27] r1: OFF, r2: OFF, i1: OFF, i2: OFF
