2025-04-01 11:29:21,382 - [2025-04-01 11:29:21] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:29:49,498 - [2025-04-01 11:29:49] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:29:49,545 - [2025-04-01 11:29:49] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:29:49,549 - [2025-04-01 11:29:49] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:29:49,553 - [2025-04-01 11:29:49] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:32:00,230 - [2025-04-01 11:32:00] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:32:18,053 - [2025-04-01 11:32:18] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:32:55,072 - [2025-04-01 11:32:55] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:33:50,563 - [2025-04-01 11:33:50] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:34:27,554 - [2025-04-01 11:34:27] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:35:23,065 - [2025-04-01 11:35:23] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:36:18,568 - [2025-04-01 11:36:18] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:36:55,563 - [2025-04-01 11:36:55] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:37:51,066 - [2025-04-01 11:37:51] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:38:28,064 - [2025-04-01 11:38:28] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:39:23,578 - [2025-04-01 11:39:23] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:40:19,073 - [2025-04-01 11:40:19] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:40:56,093 - [2025-04-01 11:40:56] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:41:51,579 - [2025-04-01 11:41:51] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:42:28,574 - [2025-04-01 11:42:28] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:43:24,087 - [2025-04-01 11:43:24] r1: OFF, r2: ON, i1: OFF, i2: OFF
2025-04-01 11:44:19,590 - [2025-04-01 11:44:19] r1: OFF, r2: ON, i1: OFF, i2: OFF
